rango,parola,frequenza,lemma,pos,pos_def
2530,totale,185,totale,ADJ,adjective
2335,funerale,202,funerale,ADJ,adjective
2347,elizabeth,201,elizabeth,ADJ,adjective
2348,dave,201,dave,ADJ,adjective
2354,said,200,said,ADJ,adjective
1865,calmo,263,calmo,ADJ,adjective
2410,sporco,195,sporco,ADJ,adjective
235,soldi,2978,soldo,ADJ,adjective
589,lungo,1028,lungo,ADJ,adjective
2444,splendida,192,splendido,ADJ,adjective
2463,spagnolo,190,spagnolo,ADJ,adjective
2329,sveglio,202,sveglio,ADJ,adjective
2484,eccoti,189,eccoto,ADJ,adjective
4002,nervi,109,nere,ADJ,adjective
2503,whale,187,whale,ADJ,adjective
2507,invito,187,invito,ADJ,adjective
657,esatto,888,esatto,ADJ,adjective
4180,alleanza,104,alleanzira,ADJ,adjective
2674,grandioso,173,grandioso,ADJ,adjective
452,importante,1439,importante,ADJ,adjective
3001,vergine,152,vergine,ADJ,adjective
437,forte,1509,forte,ADJ,adjective
435,possibile,1513,possibile,ADJ,adjective
3889,dacci,113,daccio,ADJ,adjective
2312,superiore,204,superiore,ADJ,adjective
2305,doppio,205,doppio,ADJ,adjective
611,facile,987,facile,ADJ,adjective
2006,lasciarmi,240,lasciarmi,ADJ,adjective
2015,fabbrica,239,fabbrico,ADJ,adjective
2018,tribunale,238,tribunale,ADJ,adjective
680,maggiore,855,maggiore,ADJ,adjective
2033,lieto,236,lieto,ADJ,adjective
456,cosi,1429,coso,ADJ,adjective
2046,fattoria,234,fattorio,ADJ,adjective
2047,detective,234,detectivo,ADJ,adjective
2048,continuo,234,continuo,ADJ,adjective
668,chiaro,870,chiaro,ADJ,adjective
2234,comodo,213,comodo,ADJ,adjective
2098,pesante,228,pesante,ADJ,adjective
2131,inghilterra,224,inghilterra,ADJ,adjective
2145,russo,222,russo,ADJ,adjective
2149,morale,222,morale,ADJ,adjective
563,giovane,1075,giovane,ADJ,adjective
2531,spiacente,185,spiacente,ADJ,adjective
2157,completo,221,completo,ADJ,adjective
2522,negro,186,negro,ADJ,adjective
2247,profondo,211,profondo,ADJ,adjective
