rango,parola,lemma,inglese,pos,spagnolo,lemma_es,pos_es,match_type,levenshtein
21,si,si,Yes,PRON,sí,sí,INTJ,exact,1.0
24,con,con,with,ADP,con,con,ADP,exact,1.0
40,sì,sì,Yes,ADV,sí,sí,INTJ,exact,1.0
48,solo,solo,Alone,ADV,solo,solo,ADV,exact,1.0
59,quando,quando,when,SCONJ,cuando,cuando,SCONJ,levenshtein,0.8333333333333334
74,va,andare,it goes,VERB,va,ir,VERB,wordnet,0.19999999999999996
103,casa,casa,home,NOUN,hogar,hogar,NOUN,wordnet,0.19999999999999996
107,sempre,sempre,Always,ADV,siempre,siempre,ADV,levenshtein,0.8571428571428572
121,tempo,tempo,time,NOUN,tiempo,tiempo,NOUN,levenshtein,0.8333333333333334
123,certo,certo,Certain,ADV,cierto,cierto,ADJ,levenshtein,0.8333333333333334
140,proprio,proprio,own,ADV,propio,propio,DET,levenshtein,0.8571428571428572
141,parte,parte,part,NOUN,parte,parte,NOUN,exact,1.0
161,meglio,meglio,Better,ADV,mejor,mejor,ADJ,levenshtein,0.8
162,padre,padre,father,NOUN,padre,padre,NOUN,exact,1.0
195,amico,amico,Friend,NOUN,amigo,amigo,NOUN,levenshtein,0.8
204,gente,gente,people,NOUN,gente,gente,NOUN,exact,1.0
206,modo,modo,way,NOUN,forma,forma,NOUN,wordnet,0.19999999999999996
208,momento,momento,moment,NOUN,momento,momento,NOUN,exact,1.0
211,mamma,mamma,mom,NOUN,mamá,mamá,NOUN,wordnet,0.6
214,grande,grande,great,ADJ,excelente,excelente,ADJ,wordnet,0.2222222222222222
216,madre,madre,mother,NOUN,madre,madre,NOUN,exact,1.0
223,nuovo,nuovo,new,ADJ,nuevo,nuevo,ADJ,levenshtein,0.8
233,bella,bello,Pretty,ADJ,bonito,bonito,ADJ,wordnet,0.33333333333333337
237,favore,favore,favor,NOUN,favor,favor,NOUN,levenshtein,0.8333333333333334
242,dentro,dentro,inside,ADV,adentro,adentro,ADV,levenshtein,0.8571428571428572
252,mondo,mondo,world,NOUN,mundo,mundo,NOUN,levenshtein,0.8
262,penso,pensare,I think,VERB,creo,creer,VERB,wordnet,0.0
266,papà,papà,Pope,NOUN,papa,papa,PROPN,exact,1.0
281,buona,buono,Good,ADJ,bien,bien,ADV,wordnet,0.4
301,preso,prendere,taken ,VERB,tomado,tomar,VERB,wordnet,0.1428571428571429
309,caso,caso,case,NOUN,caso,caso,NOUN,exact,1.0
312,venire,venire,come,VERB,venir,venir,VERB,levenshtein,1.0
315,problema,problema,problem,NOUN,problema,problema,NOUN,exact,1.0
327,persone,persona,people,NOUN,gente,gente,NOUN,wordnet,0.1428571428571429
329,terra,terra,Earth,NOUN,tierra,tierra,NOUN,levenshtein,0.8333333333333334
335,mano,mano,hand,NOUN,mano,mano,NOUN,exact,1.0
345,meno,meno,less,ADV,menos,menos,ADV,levenshtein,0.8
351,tesoro,tesoro,treasure,NOUN,tesoro,tesoro,NOUN,exact,1.0
356,nave,nave,ship,NOUN,barco,barco,NOUN,wordnet,0.19999999999999996
369,tardi,tardi,late,ADV,tarde,tarde,ADV,levenshtein,0.8
372,famiglia,famiglia,family,NOUN,familia,familia,NOUN,levenshtein,0.875
387,contro,contro,against,ADP,contra,contra,ADP,levenshtein,0.8333333333333334
397,guerra,guerra,war,NOUN,guerra,guerra,NOUN,exact,1.0
414,marito,marito,Husband,NOUN,marido,marido,NOUN,levenshtein,0.8333333333333334
415,minuti,minuto,minutes,NOUN,minutos,minuto,NOUN,levenshtein,0.8571428571428572
430,importa,importare,it matters,VERB,importa,importar,VERB,levenshtein,0.875
432,punto,punto,point,NOUN,punto,punto,NOUN,exact,1.0
435,possibile,possibile,possible,ADJ,posible,posible,ADJ,levenshtein,0.875
452,importante,importante,important,ADJ,importante,importante,ADJ,exact,1.0
454,amo,amare,I love,VERB,amo,amar,VERB,wordnet,0.5
460,merda,merda,shit,NOUN,mierda,mierda,NOUN,levenshtein,0.8333333333333334
472,vicino,vicino,Neighbor,ADV,vecino,vecino,NOUN,levenshtein,0.8333333333333334
479,sangue,sangue,blood,NOUN,sangre,sangre,NOUN,levenshtein,0.8333333333333334
485,vivere,vivere,live,VERB,vivir,vivir,VERB,levenshtein,0.8
486,colpa,colpa,guilt,NOUN,culpa,culpa,NOUN,levenshtein,0.8
488,entrare,entrare,enter,VERB,ingresar,ingresar,VERB,wordnet,0.5
497,ultima,ultimo,last,ADJ,último,último,ADJ,exact,1.0
505,numero,numero,number,NOUN,número,número,NOUN,exact,1.0
507,mente,menta,mind,VERB,mente,mente,NOUN,levenshtein,0.8
510,fortuna,fortuna,fortune,NOUN,fortuna,fortuna,NOUN,exact,1.0
528,mesi,mese,months,NOUN,meses,mes,NOUN,levenshtein,0.8
534,serio,serio,serious,ADJ,grave,grave,ADJ,wordnet,0.0
555,significa,significare,it means,VERB,significa,significar,VERB,levenshtein,0.7777777777777778
562,cena,cena,dinner,NOUN,cena,cena,NOUN,exact,1.0
572,musica,musica,music,NOUN,música,música,NOUN,exact,1.0
583,libro,libro,book,NOUN,libro,libro,NOUN,exact,1.0
588,campo,campo,field,NOUN,campo,campo,NOUN,exact,1.0
597,cielo,cielo,sky,NOUN,cielo,cielo,NOUN,exact,1.0
599,auto,auto,car,NOUN,auto,auto,NOUN,exact,1.0
604,festa,festa,party,NOUN,fiesta,fiesta,NOUN,levenshtein,0.8333333333333334
609,telefono,telefono,telephone,NOUN,teléfono,teléfono,NOUN,exact,1.0
620,controllo,controllo,check,NOUN,controlar,controlar,VERB,levenshtein,0.7777777777777778
622,unica,unico,unique,ADJ,único,único,ADJ,exact,1.0
629,vivo,vivo,I live,ADJ,vivo,vivo,ADJ,exact,1.0
632,generale,generale,general,ADJ,general,general,ADJ,levenshtein,1.0
639,foto,foto,photo,NOUN,foto,foto,NOUN,exact,1.0
663,pistola,pistola,pistol,NOUN,pistola,pistola,NOUN,exact,1.0
665,dormire,dormire,sleep,VERB,dormir,dormir,VERB,levenshtein,1.0
671,attento,attento,careful,ADJ,cuidadoso,cuidadoso,ADJ,wordnet,0.11111111111111116
677,armi,arma,weapons,NOUN,armas,arma,NOUN,levenshtein,0.8
683,sacco,sacco,sack,NOUN,bolsa,bolsa,NOUN,wordnet,0.0
695,alcuni,alcuno,some,DET,alguno,alguno,PRON,levenshtein,0.8333333333333334
699,situazione,situazione,situation,NOUN,situación,situación,NOUN,levenshtein,0.8888888888888888
702,esattamente,esattamente,Exactly,ADV,exactamente,exactamente,ADV,levenshtein,0.9090909090909091
705,scena,scena,scene,NOUN,escena,escena,NOUN,levenshtein,0.8333333333333334
707,perfetto,perfetto,Perfect,ADJ,perfecto,perfecto,ADJ,levenshtein,0.875
710,alto,alto,high,ADJ,alto,alto,ADJ,exact,1.0
721,capelli,capello,hair,NOUN,cabello,cabello,NOUN,levenshtein,0.8571428571428572
726,fantastico,fantastico,Fantastic,ADJ,fantástico,fantástico,ADJ,exact,1.0
735,motivo,motivo,reason,NOUN,razón,razón,NOUN,wordnet,0.0
749,futuro,futuro,future,NOUN,futuro,futuro,ADJ,exact,1.0
758,tenente,tenente,lieutenant,NOUN,teniente,teniente,NOUN,levenshtein,0.875
759,silenzio,silenzio,silence,NOUN,silencio,silencio,NOUN,levenshtein,0.875
762,odio,odiare,hate,VERB,odiar,odiar,VERB,levenshtein,1.0
766,durante,durante,during,ADP,durante,durante,ADP,exact,1.0
767,segreto,segreto,secret,ADJ,secreto,secreto,NOUN,levenshtein,0.8571428571428572
772,sistema,sistema,system,NOUN,sistema,sistema,NOUN,exact,1.0
774,causa,causa,cause,NOUN,causa,causa,NOUN,exact,1.0
776,comandante,comandante,commander,NOUN,comandante,comandante,NOUN,exact,1.0
783,presidente,presidente,president,NOUN,presidente,presidente,NOUN,exact,1.0
784,bocca,bocca,mouth,NOUN,boca,boca,NOUN,levenshtein,0.8
787,culo,culo,ass,NOUN,culo,culo,NOUN,exact,1.0
792,probabilmente,probabilmente,probably,ADV,probablemente,probablemente,ADV,levenshtein,0.8461538461538461
805,cristo,cristo,Christ,PROPN,cristo,cristo,INTJ,exact,1.0
817,specie,specie,species,NOUN,especies,especie,NOUN,wordnet,0.75
826,cavallo,cavallo,horse,NOUN,caballo,caballo,NOUN,levenshtein,0.8571428571428572
830,cambiare,cambiare,change,VERB,cambiar,cambiar,VERB,levenshtein,1.0
832,usare,usare,use,VERB,usar,usar,VERB,levenshtein,1.0
833,naturalmente,naturalmente,naturally,ADV,naturalmente,naturalmente,ADV,exact,1.0
834,continua,continuare,continues,VERB,continúa,continuar,VERB,levenshtein,0.7777777777777778
847,maria,Maria,Mary,PROPN,maría,maría,PROPN,exact,1.0
850,agente,agente,agent,NOUN,agente,agente,NOUN,exact,1.0
853,servizio,servizio,service,NOUN,servicio,servicio,NOUN,levenshtein,1.0
858,energia,energia,power,NOUN,fuerza,fuerza,NOUN,wordnet,0.4285714285714286
859,incredibile,incredibile,incredible,ADJ,increíble,increíble,ADJ,levenshtein,0.8
860,sala,sala,room,NOUN,habitación,habitación,NOUN,wordnet,0.19999999999999996
868,preoccuparti,preoccuparre,worry,VERB,preocuparse,preocupar él,VERB,levenshtein,0.8333333333333334
870,finalmente,finalmente,finally,ADV,finalmente,finalmente,ADV,exact,1.0
