rango,parola,lemma,inglese,pos,spagnolo,lemma_es,pos_es,temp_nfkd_it,temp_nfkd_es,it_spanishify,levenshtein
1,non,non,Not,ADV,no,no,ADV,non,no,non,0.6666666666666667
2,di,di,Of,ADP,de,de,ADP,di,de,di,0.5
3,che,che,That,PRON,eso,ese,PRON,che,eso,che,0.0
4,è,essere,And,AUX,y,y,CCONJ,essere,y,esser,0.0
6,la,il,there,DET,allá,allá,ADV,il,alla,il,0.25
8,un,uno,a,PRON,a,a,ADP,uno,a,uno,0.0
10,per,per,For,ADP,para,para,ADP,per,para,per,0.5
13,mi,mi,me,PRON,a mí,a,ADP,mi,a mi,mi,0.25
15,ho,avere,I have,VERB,tengo,tener,VERB,avere,tengo,aver,0.0
16,ma,ma,but,CCONJ,pero,pero,CCONJ,ma,pero,ma,0.0
25,cosa,cosa,What,PRON,qué,qué,DET,cosa,que,cosa,0.0
26,se,se,self,SCONJ,ser,ser,AUX,se,ser,se,0.6666666666666667
27,io,io,I,PRON,i,i,CCONJ,io,i,io,0.5
28,come,come,as,ADP,como,como,SCONJ,come,como,come,0.75
29,da,da,from,ADP,de,de,ADP,da,de,da,0.5
30,ci,ci,There,PRON,allá,allá,ADV,ci,alla,ci,0.0
32,questo,questo,This,DET,este,este,DET,questo,este,questo,0.5
33,qui,qui,here,ADV,aquí,aquí,ADV,qui,aqui,qui,0.5
36,sei,sei,six,NUM,seis,seis,NUM,sei,seis,sei,0.75
38,bene,bene,Well,ADV,bien,bien,ADV,bene,bien,bene,0.5
41,me,me,myself,PRON,mí mismo,yo,PRON,me,mi mismo,me,0.125
42,più,più,more,ADV,más,más,ADV,piu,mas,più,0.0
44,mio,mio,my,DET,mi,mi,DET,mio,mi,mio,0.6666666666666667
46,perché,perché,Why,SCONJ,por qué,por,ADP,perche,por que,perché,0.4285714285714286
52,tutto,tutto,All,PRON,todo,todo,PRON,tutto,todo,tutto,0.4
54,così,così,Like this,ADV,como esto,como,SCONJ,cosi,como esto,così,0.33333333333333337
56,ne,ne,neither,PRON,ni,ni,CCONJ,ne,ni,ne,0.5
58,fare,fare,Do,VERB,hacer,hacer,VERB,fare,hacer,far,0.4
60,ora,ora,Now,ADV,ahora,ahora,ADV,ora,ahora,ora,0.6
63,so,sapere,I know,VERB,sé,saber,VERB,sapere,se,saper,0.19999999999999996
64,mai,mai,never,ADV,nunca,nunca,ADV,mai,nunca,mai,0.0
65,chi,chi,who,PRON,oms,om,PRON,chi,oms,chi,0.0
69,molto,molto,Very,ADV,muy,mucho,ADV,molto,muy,molto,0.19999999999999996
71,anche,anche,Also,ADV,también,también,ADV,anche,tambien,anche,0.1428571428571429
72,detto,dire,said,VERB,dicho,dicho,ADJ,dire,dicho,dir,0.4
73,quello,quello,that,PRON,eso,ese,PRON,quello,eso,quello,0.33333333333333337
75,niente,niente,Nothing,PRON,nada,nada,PRON,niente,nada,niente,0.16666666666666663
76,grazie,grazie,Thank you,NOUN,gracias,gracias,NOUN,grazie,gracias,grazie,0.5714285714285714
77,lui,lui,he,PRON,él,él,PRON,lui,el,lui,0.0
78,voglio,volere,I want,VERB,quiero,querer,VERB,volere,quiero,voler,0.33333333333333337
82,suo,suo,his,DET,su,su,DET,suo,su,suo,0.6666666666666667
83,dove,dove,Where,ADV,dónde,dónde,PRON,dove,donde,dove,0.4
84,posso,potere,I can,NOUN,puedo,poder,AUX,potere,puedo,poter,0.19999999999999996
86,prima,prima,Before,ADV,antes,antes,ADV,prima,antes,prima,0.0
87,allora,allora,At that time,ADV,en ese tiempo,en,ADP,allora,en ese tiempo,allora,0.0
93,tuo,tuo,your,PRON,su,su,DET,tuo,su,tuo,0.33333333333333337
96,sta,stare,is,VERB,es,ser,AUX,stare,es,star,0.0
98,due,due,two,NUM,dos,dos,NUM,due,dos,due,0.33333333333333337
100,ancora,ancora,Still,ADV,aún,aún,ADV,ancora,aun,ancora,0.16666666666666663
101,qualcosa,qualcosa,something,PRON,algo,algo,PRON,qualcosa,algo,qualcosa,0.375
102,vero,vero,True,ADJ,verdadero,verdadero,ADJ,vero,verdadero,vero,0.4444444444444444
105,su,su,on,ADP,en,en,ADP,su,en,su,0.0
108,forse,forse,Perhaps,ADV,tal vez,tal,NOUN,forse,tal vez,forse,0.1428571428571429
113,altro,altro,other,PRON,otro,otro,DET,altro,otro,altro,0.6
114,sai,sai,you know,VERB,sabes,saber,VERB,sai,sabes,sai,0.4
116,devo,dovere,I have to,NOUN,tengo que,tener,VERB,dovere,tengo que,dover,0.11111111111111116
118,vita,vita,life,NOUN,vida,vida,NOUN,vita,vida,vita,0.75
124,poi,poi,Then,ADV,entonces,entonces,ADV,poi,entonces,poi,0.125
126,uomo,uomo,man,NOUN,hombre,hombre,NOUN,uomo,hombre,uomo,0.33333333333333337
127,signore,signore,Gentleman,NOUN,hidalgo,hidalgo,NOUN,signore,hidalgo,sinore,0.1428571428571429
131,credo,credere,I believe,VERB,creo,creer,VERB,credere,creo,creder,0.5
133,già,già,Already,ADV,ya,ya,ADV,gia,ya,già,0.0
134,adesso,adesso,Now,ADV,ahora,ahora,ADV,adesso,ahora,adesso,0.16666666666666663
136,anni,anno,years,NOUN,años,año,NOUN,anno,anos,anno,0.25
138,visto,vedere,view,VERB,vista,vista,NOUN,vedere,vista,veder,0.19999999999999996
139,fuori,fuori,out,ADV,afuera,afuera,ADV,fuori,afuera,fuori,0.5
142,davvero,davvero,Really,ADV,en realidad,en,ADP,davvero,en realidad,davero,0.09090909090909094
144,li,li,there,PRON,allá,allá,ADV,li,alla,li,0.25
147,quanto,quanto,How much,PRON,cuánto,cuánto,PRON,quanto,cuanto,quanto,0.6666666666666667
148,volta,volta,time,NOUN,tiempo,tiempo,NOUN,volta,tiempo,volta,0.0
149,via,via,Street,ADV,calle,calle,NOUN,via,calle,via,0.0
152,dio,Dio,God,NOUN,dios,dio,NOUN,Dio,dios,Dio,0.5
154,dopo,dopo,After,ADV,después,después,ADV,dopo,despues,dopo,0.2857142857142857
155,senza,senza,without,ADP,sin,sin,ADP,senza,sin,sencia,0.33333333333333337
157,nessuno,nessuno,Nobody,PRON,nadie,nadie,PRON,nessuno,nadie,nessuno,0.1428571428571429
159,giorno,giorno,day,NOUN,día,día,NOUN,giorno,dia,giorno,0.0
164,ciao,ciao,HI,ADV,hola,hola,PROPN,ciao,hola,ciao,0.0
167,ecco,ecco,Here you are,ADV,aquí estás,aquí,ADV,ecco,aqui estas,ecco,0.09999999999999998
168,qualcuno,qualcuno,someone,PRON,alguien,alguien,PRON,qualcuno,alguien,qualcuno,0.25
170,lavoro,lavorare,Work,VERB,trabajar,trabajar,VERB,lavorare,trabajar,lavorar,0.375
174,ogni,ogni,Everything is fine,DET,todo esta bien,todo,DET,ogni,todo esta bien,oni,0.1428571428571429
176,troppo,troppo,too,ADV,también,también,ADV,troppo,tambien,troppo,0.1428571428571429
177,posto,porre,place,VERB,lugar,lugar,NOUN,porre,lugar,porre,0.0
178,cui,cui,which,PRON,cual,cual,PRON,cui,cual,cui,0.5
179,tanto,tanto,much,ADV,mucho,mucho,ADV,tanto,mucho,tanto,0.19999999999999996
180,male,male,bad,ADV,malo,malo,ADJ,male,malo,mal,0.75
182,ce,ce,there is,PRON,hay,haber,AUX,ce,hay,ce,0.0
183,bisogno,bisogno,need,NOUN,necesidad,necesidad,NOUN,bisogno,necesidad,bisono,0.11111111111111116
185,beh,beh,Well,ADV,bien,bien,ADV,beh,bien,beh,0.5
187,vieni,vieni,You come,VERB,vienes,venir,VERB,vieni,vienes,vieni,0.6666666666666667
191,tra,tra,Between,ADP,entre,entre,ADP,tra,entre,tra,0.4
192,vai,vaire,Go,VERB,ir,ir,VERB,vaire,ir,vair,0.5
193,ehi,ehi,Hey,INTJ,ey,ey,INTJ,ehi,ey,ehi,0.33333333333333337
202,qualche,qualche,some,DET,alguno,alguno,PRON,qualche,alguno,qualche,0.1428571428571429
203,sembra,sembrare,it seems,VERB,parece,parecer,VERB,sembrare,parece,sembrar,0.0
207,tre,tre,Three,NUM,tres,tres,NUM,tre,tres,tre,0.75
209,prego,pregare,Please,VERB,por favor,por,ADP,pregare,por favor,pregar,0.4444444444444444
210,parlare,parlare,speak,VERB,hablar,hablar,VERB,parlare,hablar,parlar,0.6666666666666667
212,guarda,guardare,Look,VERB,mirar,mirar,VERB,guardare,mirar,guardar,0.4285714285714286
215,lì,lì,there,ADV,allá,allá,ADV,li,alla,lì,0.25
218,avanti,avanti,after you,ADV,después de,después,ADV,avanti,despues de,avanti,0.0
220,successo,successo,success,NOUN,éxito,éxito,NOUN,successo,exito,successo,0.125
222,donna,donna,woman,NOUN,mujer,mujer,NOUN,donna,mujer,donna,0.0
227,nostro,nostro,our,DET,nuestro,nuestro,DET,nostro,nuestro,nostro,0.7142857142857143
231,forza,forza,Force,NOUN,fuerza,fuerza,NOUN,forza,fuerza,forza,0.6666666666666667
232,piace,piacere,pleases,NOUN,agrada,agradar,VERB,piacere,agrada,piacer,0.0
