rango,parola,frequenza,lemma,inglese,spagnolo,it_reverse
1,non,145637,non,Not,No,Non
2,di,129302,di,Of,De,Di
3,che,128567,che,That,Eso,Quello
4,è,105309,essere,And,Y,E
5,e,99519,e,And,Y,E
6,la,92752,il,there,allá,Là
7,il,83487,il,The,El,IL
8,un,81762,uno,a,a,UN
9,a,78680,a,to,a,A
10,per,59380,per,For,Para,Per
11,in,48533,in,in,en,In
12,una,48229,uno,a,a,UN
13,mi,46947,mi,me,a mí,Me
14,sono,45347,essere,I am,Soy,Sono
15,ho,39064,avere,I have,Tengo,Io ho
16,ma,36205,ma,but,pero,Ma
17,l',35870,L,L&#39;,yo,L&#39;
18,lo,35124,il,the,el,IL
19,ha,34790,avere,has,tiene,ha
20,le,34746,il,the,el,IL
21,si,33241,si,Yes,Sí,SÌ
22,ti,32019,ti,you,tú,Voi
23,i,31815,il,the,el,IL
24,con,31308,con,with,con,con
25,cosa,31234,cosa,What,Qué,Che cosa
26,se,30499,se,self,ser,se stesso
27,io,29889,io,I,I,IO
28,come,29466,come,as,como,COME
29,da,29377,da,from,de,da
30,ci,26946,ci,There,Allá,Là
31,no,26890,no,no,No,NO
32,questo,21657,questo,This,Este,Questo
33,qui,21180,qui,here,aquí,Qui
34,e',21146,e,And&#39;,Y&#39;,E&#39;
35,hai,21074,avere,you have,tienes,hai
36,sei,20075,essere,six,seis,sei
37,del,19601,di il,of the,del,del
38,bene,19550,bene,Well,Bien,BENE
39,tu,19491,tu,you,tú,Voi
40,sì,18635,sì,Yes,Sí,SÌ
41,me,18106,me,myself,mí mismo,me stessa
42,più,18088,più,more,más,Di più
43,al,17129,a il,to the,hacia,al
44,mio,16884,mio,my,mi,Mio
45,c',16308,c,there,allá,Là
46,perché,15936,perché,Why,Por qué,Perché
47,lei,15587,lei,she,ella,Lei
48,solo,15422,solo,Alone,Solo,Solo
49,te,15108,te,you,tú,Voi
50,era,14826,essere,era,era,era
51,gli,14766,il,The,El,IL
52,tutto,14665,tutto,All,Todo,Tutto
53,della,14479,di il,from the,desde el,dal
54,così,14303,così,Like this,Como esto,Come questo
55,mia,13350,mio,my,mi,Mio
56,ne,13100,ne,neither,ni,nessuno dei due
57,questa,12583,questo,this,este,Questo
58,fare,12377,fare,Do,Hacer,Fare
59,quando,12323,quando,when,cuando,Quando
60,ora,12011,ora,Now,Ahora,Ora
61,fatto,11587,fare,Done,Hecho,Fatto
62,essere,11550,essere,to be,ser,essere
63,so,11488,sapere,I know,Sé,Lo so
64,mai,11206,mai,never,nunca,Mai
65,chi,10928,chi,who,OMS,Chi
66,o,10627,o,or,o,O
67,alla,10582,a il,at the,en el,al
68,tutti,10502,tutto,everyone,todos,tutti
69,molto,10449,molto,Very,Muy,Molto
70,dei,10328,di il,of the,del,del
71,anche,10295,anche,Also,También,Anche
