rango,parola,frequenza,lemma,inglese,it_reverse
1,non,145637,non,Not,Non
2,di,129302,di,Of,Di
3,che,128567,che,That,Quello
4,è,105309,essere,And,E
5,e,99519,e,And,E
6,la,92752,il,there,Là
7,il,83487,il,The,IL
8,un,81762,uno,a,UN
9,a,78680,a,to,A
10,per,59380,per,For,Per
11,in,48533,in,in,In
12,una,48229,uno,a,UN
13,mi,46947,mi,me,Me
14,sono,45347,essere,I am,Sono
15,ho,39064,avere,I have,Io ho
16,ma,36205,ma,but,Ma
17,l',35870,L,L&#39;,L&#39;
18,lo,35124,il,the,IL
19,ha,34790,avere,has,ha
20,le,34746,il,the,IL
21,si,33241,si,Yes,SÌ
22,ti,32019,ti,you,Voi
23,i,31815,il,the,IL
24,con,31308,con,with,con
25,cosa,31234,cosa,What,Che cosa
26,se,30499,se,self,se stesso
27,io,29889,io,I,IO
28,come,29466,come,as,COME
29,da,29377,da,from,da
30,ci,26946,ci,There,Là
31,no,26890,no,no,NO
32,questo,21657,questo,This,Questo
33,qui,21180,qui,here,Qui
34,e',21146,e,And&#39;,E&#39;
35,hai,21074,avere,you have,hai
36,sei,20075,sei,six,sei
37,del,19601,di il,of the,del
38,bene,19550,bene,Well,BENE
39,tu,19491,tu,you,Voi
40,sì,18635,sì,Yes,SÌ
41,me,18106,me,myself,me stessa
42,più,18088,più,more,Di più
43,al,17129,a il,to the,al
44,mio,16884,mio,my,Mio
45,c',16308,c,there,Là
46,perché,15936,perché,Why,Perché
47,lei,15587,lei,she,Lei
48,solo,15422,solo,Alone,Solo
49,te,15108,te,you,Voi
50,era,14826,essere,era,era
51,gli,14766,il,The,IL
52,tutto,14665,tutto,All,Tutto
53,della,14479,di il,from the,dal
54,così,14303,così,Like this,Come questo
55,mia,13350,mio,my,Mio
56,ne,13100,ne,neither,nessuno dei due
57,questa,12583,questo,this,Questo
58,fare,12377,fare,Do,Fare
59,quando,12323,quando,when,Quando
60,ora,12011,ora,Now,Ora
61,fatto,11587,fare,Done,Fatto
62,essere,11550,essere,to be,essere
63,so,11488,sapere,I know,Lo so
64,mai,11206,mai,never,Mai
65,chi,10928,chi,who,Chi
66,o,10627,o,or,O
67,alla,10582,a il,at the,al
68,tutti,10502,tutto,everyone,tutti
69,molto,10449,molto,Very,Molto
70,dei,10328,di il,of the,del
71,anche,10295,anche,Also,Anche
72,detto,10192,dire,said,disse
73,quello,9994,quello,that,Quello
74,va,9985,andare,it goes,va
75,niente,9918,niente,Nothing,Niente
76,grazie,9755,grazie,Thank you,Grazie
77,lui,9579,lui,he,Lui
78,voglio,9358,volere,I want,Voglio
79,abbiamo,8984,avere,we have,abbiamo
80,stato,8927,essere,state,stato
81,nel,8849,in il,In the,Nel
82,suo,8755,suo,his,il suo
83,dove,8739,dove,Where,Dove
84,posso,8659,potere,I can,Io posso
85,oh,8653,oh,Oh,OH
86,prima,8574,prima,Before,Prima
87,allora,8346,allora,At that time,A quel tempo
88,siamo,8337,essere,we are,noi siamo
89,d',8323,d,d&#39;,D&#39;
90,uno,8290,uno,one,uno
91,un',8236,uno,a,UN
92,sua,8233,suo,her,suo
93,tuo,8209,tuo,your,tuo
94,hanno,8202,avere,they have,loro hanno
95,noi,8189,noi,we,Noi
96,sta,8183,stare,is,È
97,fa,8121,fare,does,fa
98,due,7954,due,two,due
99,vuoi,7948,volere,you want,tu vuoi
100,ancora,7909,ancora,Still,Ancora
101,qualcosa,7611,qualcosa,something,qualcosa
102,vero,7524,vero,True,VERO
103,casa,7523,casa,home,casa
104,sia,7446,essere,is,È
105,su,7426,su,on,SU
106,tua,7337,tuo,your,tuo
107,sempre,7312,sempre,Always,Sempre
108,forse,6809,forse,Perhaps,Forse
109,dire,6642,dire,to say,dire
110,vi,6614,vi,you,Voi
111,loro,6570,loro,They,Essi
112,i',6500,il,the&#39;,IL&#39;
113,altro,6458,altro,other,altro
114,sai,6415,sai,you know,Sai
115,stai,6375,stare,you are,sei
116,devo,6373,dovere,I have to,Devo
117,quella,6243,quello,that,Quello
118,vita,6209,vita,life,vita
119,quel,6133,quello,that,Quello
120,delle,6047,di il,from the,dal
121,tempo,6027,tempo,time,tempo
122,andare,5968,andare,go,andare
123,certo,5915,certo,Certain,Certo
124,poi,5884,poi,Then,Poi
125,nella,5878,in il,in the,nel
126,uomo,5866,uomo,man,Uomo
127,signore,5837,signore,Gentleman,Signore
128,ad,5729,a,to,A
129,po',5678,poco,bit&#39;,morso&#39;
130,può,5591,potere,can,Potere
131,credo,5584,credere,I believe,Credo
132,voi,5572,voi,you,Voi
133,già,5569,già,Already,Già
134,adesso,5553,adesso,Now,Ora
135,andiamo,5534,andare,let&#39;s go,andiamo
136,anni,5436,anno,years,anni
137,all',5335,all,to,A
138,visto,5275,vedere,view,visualizzazione
139,fuori,5165,fuori,out,fuori
140,proprio,5153,proprio,own,Proprio
141,parte,5139,parte,part,parte
142,davvero,5123,davvero,Really,Veramente
143,vuole,5081,volere,wants,vuole
144,li,5070,li,there,Là
145,dell',5062,dell,of the,del
146,sto,5056,stare,I&#39;m,Io sono
147,quanto,4986,quanto,How much,Quanto
148,volta,4943,volta,time,tempo
149,via,4935,via,Street,Strada
150,sul,4859,su il,on the,sul
151,é,4839,é,And,E
152,dio,4819,Dio,God,Dio
153,sarà,4791,essere,will be,sarà
154,dopo,4752,dopo,After,Dopo
155,senza,4674,senza,without,senza
156,cose,4663,cosa,things,cose
157,nessuno,4612,nessuno,Nobody,Nessuno
158,fai,4558,fare,you do,fate
159,giorno,4556,giorno,day,giorno
160,ed,4552,e,and,E
161,meglio,4532,meglio,Better,Meglio
162,padre,4512,padre,father,padre
163,puoi,4465,potere,you can,puoi
164,ciao,4424,ciao,HI,CIAO
165,cos',4202,cos,what is it,che cos&#39;è
166,devi,4168,dovere,you have to,si deve
167,ecco,4149,ecco,Here you are,Ecco
168,qualcuno,4116,qualcuno,someone,qualcuno
169,dal,4104,da il,from the,dal
170,lavoro,4102,lavorare,Work,Lavoro
171,sa,4096,sapere,you know,Sai
172,ai,4065,a il,to the,al
173,vedere,4037,vedere,see,Vedere
174,ogni,4021,ogni,Everything is fine,Va tutto bene
175,ii,4001,ii,ii,ii
176,troppo,3998,troppo,too,pure
177,posto,3980,porre,place,posto
178,cui,3939,cui,which,Quale
179,tanto,3899,tanto,much,tanto
180,male,3894,male,bad,Cattivo
181,dai,3893,da il,come on,Dai
182,ce,3893,ce,there is,c&#39;è
183,bisogno,3880,bisogno,need,Bisogno
184,signor,3837,signore,Mr,Sig
185,beh,3790,beh,Well,BENE
186,perchè,3748,perché,Why,Perché
187,vieni,3729,vieni,You come,Tu vieni
188,alle,3724,a il,at,A
189,dalla,3723,da il,from the,dal
190,stata,3711,essere,was,era
191,tra,3671,tra,Between,Fra
192,vai,3664,vaire,Go,Andare
193,ehi,3663,ehi,Hey,EHI
194,miei,3648,mio,my,Mio
195,amico,3633,amico,Friend,Amico
196,dice,3584,dire,He says,Lui dice
197,sarebbe,3580,essere,would be,sarebbe
198,avete,3577,avere,you have,hai
199,altra,3570,altro,other,altro
200,deve,3567,dovere,needs to,deve
201,sulla,3539,su il,on the,sul
202,qualche,3519,qualche,some,Alcuni
203,sembra,3438,sembrare,it seems,sembra
204,gente,3405,gente,people,persone
205,dobbiamo,3402,dovere,we have to,dobbiamo
206,modo,3390,modo,way,modo
207,tre,3341,tre,Three,Tre
208,momento,3336,momento,moment,momento
209,prego,3326,pregare,Please,Per favore
210,parlare,3302,parlare,speak,parlare
211,mamma,3296,mamma,mom,mamma
212,guarda,3277,guardare,Look,Aspetto
213,signora,3272,signore,Lady,Signora
214,grande,3267,grande,great,Grande
215,lì,3255,lì,there,Là
216,madre,3196,madre,mother,madre
217,possiamo,3176,potere,we can,noi possiamo
218,avanti,3158,avanti,after you,Dopo di te
219,avere,3146,avere,have,Avere
220,successo,3145,successo,success,successo
221,ero,3124,essere,I was,Ero
222,donna,3124,donna,woman,donna
223,nuovo,3121,nuovo,new,nuovo
224,ah,3116,ah,ah,ah
225,faccio,3087,fare,I do,Io faccio
226,aveva,3084,avere,I had,avevo
227,nostro,3081,nostro,our,Nostro
228,degli,3067,di il,of the,del
229,questi,3048,questo,these,questi
230,siete,3040,essere,you are,sei
231,forza,3030,forza,Force,Forza
232,piace,2997,piacere,pleases,piace
233,bella,2984,bello,Pretty,Bello
234,dov',2983,dov,where&#39;s,dov &#39;è
235,soldi,2978,soldo,money,soldi
236,avevo,2974,avere,I had,avevo
237,favore,2947,favore,favor,favore
238,fosse,2930,essere,is,È
239,altri,2904,altro,others,altri
240,dispiace,2902,dispiacere,sorry,Scusa
241,subito,2891,subito,right away,al momento
242,dentro,2873,dentro,inside,dentro
243,oggi,2867,oggi,Today,Oggi
244,accordo,2857,accordo,agreement,accordo
245,tutta,2821,tutto,all,Tutto
246,faccia,2793,fare,face,viso
247,nome,2782,nome,first name,nome di battesimo
248,ok,2764,ok,ok,OK
249,notte,2762,notte,Night,Notte
250,queste,2759,questo,these,questi
251,figlio,2755,figlio,son,figlio
252,mondo,2747,mondo,world,mondo
253,nostra,2744,nostro,our,Nostro
254,sapere,2738,sapere,know,Sapere
255,vado,2732,vado,I go,io vado
256,tutte,2709,tutto,all,Tutto
257,aspetta,2707,aspettare,Wait,Aspettare
258,amore,2695,amore,Love,Amore
259,moglie,2688,moglie,wife,moglie
260,sicuro,2673,sicuro,Safe,Sicuro
261,suoi,2637,suo,his,il suo
262,penso,2635,pensare,I think,Penso
263,paura,2635,paura,fear,Paura
264,idea,2631,idea,idea,idea
265,testa,2605,testa,head,Testa
266,papà,2585,papà,Pope,Papa
267,giusto,2583,giusto,Right,Giusto
268,eh,2575,eh,eh,eh
269,vorrei,2574,volere,I would like,mi piacerebbe
270,senti,2566,sentire,listen,Ascoltare
271,presto,2551,presto,Soon,Presto
272,uomini,2546,uomo,men,uomini
273,ll,2542,l il,ll,LL
274,basta,2536,bastare,Enough,Abbastanza
275,potrebbe,2530,potere,could be,potrebbe essere
276,stesso,2527,stesso,same,Stesso
277,avuto,2521,avere,had,avevo
278,porta,2516,portare,brings,porta
279,erano,2486,essere,they were,Li avevamo
280,stare,2483,stare,to stay,stare
281,buona,2467,buono,Good,Bene
282,quindi,2440,quindi,Therefore,Perciò
283,farlo,2434,fare lo,to do it,per farlo
284,appena,2426,appena,as soon as,non appena
285,abbia,2422,avere,have,Avere
286,ragione,2417,ragione,reason,motivo
287,sentito,2400,sentire,sense,senso
288,ragazzi,2365,ragazzo,Boys,Ragazzi
289,domani,2350,domani,Tomorrow,Domani
290,ragazza,2336,ragazzo,lass,ragazza
291,ragazzo,2332,ragazzo,lad,ragazzo
292,insieme,2329,insieme,Together,Insieme
293,sotto,2324,sotto,under,Sotto
294,volevo,2318,volere,I wanted,volevo
295,pronto,2318,pronto,ready,pronto
296,nei,2317,in il,in the,nel
297,ciò,2305,ciò,that is,questo è
298,volte,2295,volta,times,volte
299,capito,2289,capire,Understood,Inteso
300,succede,2288,succedere,happens,accade
301,preso,2284,prendere,taken ,preso 
302,facendo,2282,fare,doing,facendo
303,piacere,2260,piacere,Pleasure,Piacere
304,morto,2244,morire,died,morto
305,tuoi,2217,tuo,yours,il tuo
306,capitano,2215,capitano,captain,Capitano
307,letto,2205,leggere,Bed,Letto
308,storia,2197,storia,history,storia
309,caso,2180,caso,case,caso
310,trovato,2167,trovare,found,trovato
311,amici,2115,amico,friends,amici
312,venire,2109,venire,come,Venire
313,dico,2108,dire,I say,dico
314,capisco,2104,capiscere,I understand,Capisco
315,problema,2096,problema,problem,problema
316,fino,2095,fino,until,Fino a
317,tipo,2093,tipo,guy,tipo
318,là,2090,là,there,Là
319,qua,2085,qua,here,Qui
320,pensi,2073,pensare,think,pensare
321,aver,2070,avere,have,Avere
322,giorni,2066,giorno,days,giorni
323,cazzo,2065,cazzo,fuck,Fanculo
324,okay,2062,okay,okay,Va bene
325,nulla,2057,nulla,Nothing,Niente
326,bello,2056,bello,Handsome,Bello
327,persone,2051,persona,people,persone
328,buon,2022,buono,Good,Bene
329,terra,2020,terra,Earth,Terra
330,ia,2009,ia,ia,e.a
331,dato,1995,dare,given,dato
332,secondo,1986,secondo,second,secondo
333,film,1981,film,movie,film
334,nell',1964,nell,in the&#39;,nel&#39;
335,mano,1958,mano,hand,mano
336,facciamo,1947,fare,we do,noi facciamo
337,vediamo,1927,vedere,We see,Vediamo
338,vedo,1924,vedere,I see,Vedo
339,stanno,1924,stare,they are,sono
340,avrei,1917,avere,I would have,Avrei
341,prendere,1915,prendere,take,Prendere
342,dici,1914,dici,you say,tu dici
343,serve,1913,servire,it helps,aiuta
344,morte,1904,morto,death,morte
345,meno,1900,meno,less,meno
346,città,1894,città,city,città
347,occhi,1876,occhio,eyes,occhi
348,fine,1870,fine,end,FINE
349,sig,1868,sig,Mr,Sig
350,ê,1852,ê,And,E
351,tesoro,1843,tesoro,treasure,tesoro
352,scusi,1842,scusire,Excuse me,Mi scusi
353,primo,1839,primo,first,Primo
354,credi,1835,credere,believe,credere
355,salve,1829,salvo,Greetings,Saluti
356,nave,1824,nave,ship,nave
357,stiamo,1822,stare,we are,noi siamo
358,sera,1815,sera,evening,sera
359,piano,1809,piano,floor,pavimento
360,sento,1805,sentire,I feel,io sento
361,macchina,1805,macchina,machine,macchina
362,vostro,1800,vostro,your,tuo
363,mani,1799,mano,hands,mani
364,neanche,1796,neanche,not even,nemmeno
365,dall',1794,dall,from,da
