rango,parola,lemma,inglese,pos,spagnolo,lemma_es,pos_es,match_type,score
21,si,si,Yes,PRON,sí,sí,INTJ,exact,1.0
24,con,con,with,ADP,con,con,ADP,exact,1.0
40,sì,sì,Yes,ADV,sí,sí,INTJ,exact,1.0
48,solo,solo,Alone,ADV,solo,solo,ADV,exact,1.0
49,te,te,tea,PRON,té,té,NOUN,exact,1.0
103,casa,casa,house,NOUN,casa,casa,PROPN,exact,1.0
141,parte,parte,part,NOUN,parte,parte,NOUN,exact,1.0
162,padre,padre,father,NOUN,padre,padre,NOUN,exact,1.0
204,gente,gente,people,NOUN,gente,gente,NOUN,exact,1.0
206,modo,modo,way,NOUN,forma,forma,NOUN,wordnet,1.0
208,momento,momento,moment,NOUN,momento,momento,NOUN,exact,1.0
214,grande,grande,big,ADJ,grande,grande,ADJ,exact,1.0
216,madre,madre,mother,NOUN,madre,madre,NOUN,exact,1.0
233,bella,bello,Pretty,ADJ,bonito,bonito,ADJ,wordnet,1.0
266,papà,papà,Pope,NOUN,papa,papa,PROPN,exact,1.0
309,caso,caso,case,NOUN,caso,caso,NOUN,exact,1.0
312,venire,venire,come,VERB,venir,venir,VERB,levenshtein,1.0
315,problema,problema,problem,NOUN,problema,problema,NOUN,exact,1.0
317,tipo,tipo,type,NOUN,tipo,tipo,NOUN,exact,1.0
335,mano,mano,hand,NOUN,mano,mano,NOUN,exact,1.0
351,tesoro,tesoro,treasure,NOUN,tesoro,tesoro,NOUN,exact,1.0
356,nave,nave,ship,NOUN,barco,barco,NOUN,wordnet,1.0
386,però,però,but,ADV,pero,pero,CCONJ,exact,1.0
397,guerra,guerra,war,NOUN,guerra,guerra,NOUN,exact,1.0
432,punto,punto,point,NOUN,punto,punto,NOUN,exact,1.0
452,importante,importante,important,ADJ,importante,importante,ADJ,exact,1.0
497,ultima,ultimo,last,ADJ,último,último,ADJ,exact,1.0
505,numero,numero,number,NOUN,número,número,NOUN,exact,1.0
510,fortuna,fortuna,fortune,NOUN,fortuna,fortuna,NOUN,exact,1.0
534,serio,serio,serious,ADJ,grave,grave,ADJ,wordnet,1.0
562,cena,cena,dinner,NOUN,cena,cena,NOUN,exact,1.0
572,musica,musica,music,NOUN,música,música,NOUN,exact,1.0
583,libro,libro,book,NOUN,libro,libro,NOUN,exact,1.0
588,campo,campo,field,NOUN,campo,campo,NOUN,exact,1.0
597,cielo,cielo,sky,NOUN,cielo,cielo,NOUN,exact,1.0
599,auto,auto,car,NOUN,auto,auto,NOUN,exact,1.0
609,telefono,telefono,telephone,NOUN,teléfono,teléfono,NOUN,exact,1.0
622,unica,unico,unique,ADJ,único,único,ADJ,exact,1.0
632,generale,generale,general,ADJ,general,general,ADJ,levenshtein,1.0
639,foto,foto,photo,NOUN,foto,foto,NOUN,exact,1.0
663,pistola,pistola,pistol,NOUN,pistola,pistola,NOUN,exact,1.0
665,dormire,dormire,sleep,VERB,dormir,dormir,VERB,levenshtein,1.0
710,alto,alto,high,ADJ,alto,alto,ADJ,exact,1.0
726,fantastico,fantastico,Fantastic,ADJ,fantástico,fantástico,ADJ,exact,1.0
735,motivo,motivo,reason,NOUN,razón,razón,NOUN,wordnet,1.0
746,de,de,of,ADP,de,de,ADP,exact,1.0
749,futuro,futuro,future,NOUN,futuro,futuro,ADJ,exact,1.0
766,durante,durante,during,ADP,durante,durante,ADP,exact,1.0
772,sistema,sistema,system,NOUN,sistema,sistema,NOUN,exact,1.0
774,causa,causa,cause,NOUN,causa,causa,NOUN,exact,1.0
776,comandante,comandante,commander,NOUN,comandante,comandante,NOUN,exact,1.0
783,presidente,presidente,president,NOUN,presidente,presidente,NOUN,exact,1.0
787,culo,culo,ass,NOUN,culo,culo,NOUN,exact,1.0
805,cristo,cristo,Christ,PROPN,cristo,cristo,INTJ,exact,1.0
830,cambiare,cambiare,change,VERB,cambiar,cambiar,VERB,levenshtein,1.0
832,usare,usare,use,VERB,usar,usar,VERB,levenshtein,1.0
833,naturalmente,naturalmente,naturally,ADV,naturalmente,naturalmente,ADV,exact,1.0
847,maria,Maria,Mary,PROPN,maría,maría,PROPN,exact,1.0
850,agente,agente,agent,NOUN,agente,agente,NOUN,exact,1.0
853,servizio,servizio,service,NOUN,servicio,servicio,NOUN,levenshtein,1.0
858,energia,energia,energy,NOUN,energía,energía,NOUN,exact,1.0
860,sala,sala,room,NOUN,habitación,habitación,NOUN,wordnet,1.0
870,finalmente,finalmente,finally,ADV,finalmente,finalmente,ADV,exact,1.0
899,oro,oro,gold,NOUN,oro,oro,NOUN,exact,1.0
943,calma,calma,calm,NOUN,calma,calma,NOUN,exact,1.0
953,mare,mare,sea,NOUN,mar,mar,NOUN,levenshtein,1.0
954,maestro,maestro,master,NOUN,maestro,maestro,NOUN,exact,1.0
956,pagare,pagare,pay,VERB,pagar,pagar,VERB,levenshtein,1.0
961,dia,dia,day,VERB,día,día,NOUN,exact,1.0
967,pena,pena,penalty,NOUN,pena,pena,NOUN,exact,1.0
978,bastardo,bastardo,bastard,ADJ,bastardo,bastardo,NOUN,exact,1.0
986,grado,grado,degree,NOUN,grado,grado,NOUN,exact,1.0
990,contento,contento,happy,ADJ,feliz,feliz,ADJ,wordnet,1.0
993,santo,santo,holy,NOUN,santo,santo,NOUN,exact,1.0
1029,linea,linea,line,NOUN,línea,línea,NOUN,exact,1.0
1043,normale,normale,normal,ADJ,normal,normal,ADJ,levenshtein,1.0
1049,principe,principe,prince,NOUN,príncipe,príncipe,NOUN,exact,1.0
1064,completamente,completamente,completely,ADV,completamente,completamente,ADV,exact,1.0
1067,personale,personale,staff,ADJ,personal,personal,ADJ,levenshtein,1.0
1070,vino,vino,wine,NOUN,vino,venir,VERB,exact,1.0
1074,guardia,guardia,guard,NOUN,guardia,guardia,NOUN,exact,1.0
1083,zona,zona,area,NOUN,área,área,NOUN,wordnet,1.0
1098,duro,duro,hard,ADJ,duro,duro,ADJ,exact,1.0
1102,destino,destino,destiny,NOUN,destino,destino,NOUN,exact,1.0
1105,centro,centro,center,NOUN,centro,centro,NOUN,exact,1.0
1122,luna,luna,moon,NOUN,luna,luna,NOUN,exact,1.0
1164,visita,visita,visit,NOUN,visita,visita,NOUN,exact,1.0
1169,carne,carne,meat,NOUN,carne,carne,NOUN,exact,1.0
1182,differenza,differenza,difference,NOUN,diferencia,diferenciar,VERB,levenshtein,1.0
1198,regalo,regalo,gift,NOUN,regalo,regalo,NOUN,exact,1.0
1200,lista,lista,list,NOUN,lista,listo,ADJ,exact,1.0
1209,triste,triste,sad,ADJ,triste,triste,ADJ,exact,1.0
1258,memoria,memoria,memory,NOUN,memoria,memoriar,VERB,exact,1.0
1281,comprare,comprare,buy,VERB,comprar,comprar,VERB,levenshtein,1.0
1311,reale,reale,real,ADJ,real,real,ADJ,levenshtein,1.0
1366,tè,tè,tea,NOUN,té,té,NOUN,exact,1.0
1367,rosa,rosa,rose,ADJ,rosa,rosa,PROPN,exact,1.0
1383,teatro,teatro,theater,NOUN,teatro,teatro,NOUN,exact,1.0
1386,barca,barca,boat,NOUN,bote,bote,NOUN,wordnet,1.0
1400,gloria,gloria,glory,NOUN,gloria,gloria,NOUN,exact,1.0
1420,saltare,saltare,jump,VERB,saltar,saltar,VERB,levenshtein,1.0
1446,presente,presente,present,ADJ,presente,presente,ADJ,exact,1.0
1499,emergenza,emergenza,emergency,NOUN,emergencia,emergencia,NOUN,levenshtein,1.0
1500,americano,americano,American,ADJ,americano,americano,ADJ,exact,1.0
1528,grave,grave,serious,ADJ,grave,grave,ADJ,exact,1.0
1576,arte,arte,art,NOUN,arte,arte,NOUN,exact,1.0
1610,muro,muro,wall,NOUN,muro,muro,NOUN,exact,1.0
1619,presenza,presenza,presence,NOUN,presencia,presencia,NOUN,levenshtein,1.0
1644,periodo,periodo,period,NOUN,período,período,NOUN,exact,1.0
1665,enorme,enorme,huge,ADJ,enorme,enorme,ADJ,exact,1.0
1685,fila,fila,line,NOUN,línea,línea,NOUN,wordnet,1.0
1690,droga,droga,drug,NOUN,droga,droga,NOUN,exact,1.0
1694,cliente,cliente,customer,NOUN,cliente,cliente,NOUN,exact,1.0
1696,verde,verde,green,ADJ,verde,verde,ADJ,exact,1.0
1719,volare,volare,fly,VERB,volar,volar,VERB,levenshtein,1.0
1720,militare,militare,military,ADJ,militar,militar,NOUN,levenshtein,1.0
1734,lana,lana,wool,NOUN,lana,lana,NOUN,exact,1.0
1740,curvatura,curvatura,curvature,NOUN,curvatura,curvatura,NOUN,exact,1.0
1752,finale,finale,final,ADJ,final,final,ADJ,levenshtein,1.0
1758,dr,dr,Dr.,NOUN,dr.,dr,PROPN,wordnet,1.0
1761,tiro,tiro,shot,NOUN,disparo,disparo,NOUN,wordnet,1.0
1763,roma,Roma,Rome,PROPN,roma,roma,PROPN,exact,1.0
1772,responsabile,responsabile,responsible,ADJ,responsable,responsable,NOUN,levenshtein,1.0
1781,girare,girare,spin,VERB,girar,girar,VERB,levenshtein,1.0
1784,bomba,Bomba,bomb,NOUN,bomba,bomba,NOUN,exact,1.0
1790,creare,creare,create,VERB,crear,crear,VERB,levenshtein,1.0
1799,talento,talento,talent,NOUN,talento,talento,NOUN,exact,1.0
1803,peso,peso,weight,NOUN,peso,peso,NOUN,exact,1.0
